#Sesssion	ID	Day	Station
1	1	4	107
1	2	6	30
1	3	8	30
1	4	7	49
1	4	12	49
1	5	11	63
1	6	12	63
1	6	13	63
1	7	20	211
1	7	21	211
1	7	22	211
1	8	18	129
1	10	15	132
1	10	19	132
1	10	16	133
1	10	17	133
1	10	18	133
1	10	19	133
1	14	16	134
1	10	17	134
1	14	19	134
1	12	15	136
1	12	18	136
1	13	17	137
1	11	18	137
1	11	19	137
1	11	18	138
1	12	19	151
1	11	16	164
1	11	17	164
1	11	17	169
1	14	19	170
1	10	16	173
1	10	17	173
1	14	17	173
1	14	18	173
1	10	16	174
1	10	17	174
1	14	18	174
1	10	19	174
1	11	17	176
1	14	16	177
1	10	18	178
1	10	15	179
1	10	17	179
1	9	17	179
1	9	18	179
1	15	16	181
1	15	18	181
1	15	18	182
1	15	19	182
1	16	19	159
1	11	16	169
1	14	15	178
1	15	17	181
