X,Y,Heavy,MPI,Light,Harvest
484875.8867,5096745.25,0.782244072,-1.795917391,0.023423944,0.805433307
485375.8867,5096745.25,0.757126236,-1.18462528,0.023851076,0.780628672
485875.8867,5096745.25,0.644297235,-1.202684985,0.105990783,0.749680969
486375.8867,5096745.25,0.483880253,-1.222035584,0.232872769,0.715486323
486875.8867,5096745.25,0.515683453,-1.436981478,0.256402878,0.771057486
487375.8867,5096745.25,0.571798561,-1.661208586,0.219568345,0.790297988
487875.8867,5096745.25,0.702623907,-1.551758146,0.103790087,0.804542029
488375.8867,5096745.25,0.759394116,-1.000566828,0.047189047,0.805825758
483875.8867,5097245.25,0.866300895,-1.483645961,0.008951776,0.875198714
484375.8867,5097245.25,0.878112334,-2.158917636,0.003474233,0.881549744
484875.8867,5097245.25,0.842485549,-1.745267215,0.01734104,0.859682454
485375.8867,5097245.25,0.724197745,-0.709086508,0.020815265,0.744863646
485875.8867,5097245.25,0.598438855,-0.83839482,0.101474415,0.698983112
486375.8867,5097245.25,0.447528187,-0.90427023,0.237351836,0.682839165
486875.8867,5097245.25,0.428942058,-1.036035178,0.257999423,0.685830692
487375.8867,5097245.25,0.510069045,-1.392230893,0.237917146,0.746963917
487875.8867,5097245.25,0.678167585,-2.503652951,0.134531748,0.81115698
488375.8867,5097245.25,0.756097561,-2.215186108,0.044134727,0.799725575
488875.8867,5097245.25,0.604906205,0.216619457,0.040692641,0.645295778
489375.8867,5097245.25,0.451138657,0.535328364,0.029115019,0.480086779
489875.8867,5097245.25,0.445945946,0.504368714,0.010925819,0.456852949
483375.8867,5097745.25,0.836546763,-2.091992267,0.030503597,0.866927961
483875.8867,5097745.25,0.901672434,-4.440949558,0.009515571,0.911149746
484375.8867,5097745.25,0.915448553,-5.244092556,0.012324448,0.927773001
484875.8867,5097745.25,0.79740634,-1.67343628,0.023054755,0.820335546
485375.8867,5097745.25,0.701185999,-0.522468103,0.01562048,0.716694328
485875.8867,5097745.25,0.583718245,-0.527759426,0.063799076,0.647060177
486375.8867,5097745.25,0.459919262,-0.49270516,0.169550173,0.628448926
486875.8867,5097745.25,0.450460829,-0.153722358,0.202476959,0.652356292
487375.8867,5097745.25,0.470520564,-0.907838011,0.18176589,0.651661292
487875.8867,5097745.25,0.64477871,-1.244075838,0.098929708,0.742801066
488375.8867,5097745.25,0.728882438,-0.786383908,0.028447025,0.757027183
488875.8867,5097745.25,0.670126874,-0.450592503,0.015282584,0.685317473
489375.8867,5097745.25,0.57352518,0.267027214,0.010935252,0.584416553
489875.8867,5097745.25,0.493951613,0.41831961,0.006912442,0.500844203
490375.8867,5097745.25,0.478274081,0.484112965,0,0.478274081
490875.8867,5097745.25,0.547759001,0.326298441,0,0.547759001
491375.8867,5097745.25,0.628158845,0.130502318,0,0.628158845
482875.8867,5098245.25,0.739792984,-0.943891816,0.079643473,0.819117154
483375.8867,5098245.25,0.799367634,-1.834654344,0.018970969,0.818262567
483875.8867,5098245.25,0.850359712,-2.234911079,0.021007194,0.871282613
484375.8867,5098245.25,0.841065292,-2.052214865,0.028636884,0.869702176
484875.8867,5098245.25,0.738603578,-0.774018046,0.025389498,0.763796821
485375.8867,5098245.25,0.665591082,-0.588885006,0.032854209,0.697691971
