X,Y,Heavy,Heavy_NW,MPI,Light,Light_NW,Harvest,Harvest_NW,
484875.8867,5096745.25,0.782244072,0.774405955,8.913707439,0.023423944,0.023189236,0.805433307,0.79759519,0.484875887
485375.8867,5096745.25,0.757126236,0.746059043,9.087770529,0.023851076,0.023502436,0.780628672,0.769561479,0.485375887
485875.8867,5096745.25,0.644297235,0.640607102,9.082628097,0.105990783,0.105383734,0.749680969,0.745990836,0.485875887
486375.8867,5096745.25,0.483880253,0.481248211,9.077118088,0.232872769,0.231606069,0.715486323,0.71285428,0.486375887
486875.8867,5096745.25,0.515683453,0.513614216,9.015913067,0.256402878,0.255374033,0.771057486,0.768988249,0.486875887
487375.8867,5096745.25,0.571798561,0.569014891,8.952065256,0.219568345,0.218499427,0.790297988,0.787514318,0.487375887
487875.8867,5096745.25,0.702623907,0.689951331,8.98323085,0.103790087,0.101918122,0.804542029,0.791869453,0.487875887
488375.8867,5096745.25,0.759394116,0.747205503,9.140180469,0.047189047,0.046431642,0.805825758,0.793637145,0.488375887
483875.8867,5097245.25,0.866300895,0.861079219,9.002625534,0.008951776,0.008897819,0.875198714,0.869977038,0.483875887
484375.8867,5097245.25,0.878112334,0.8688055,8.810344508,0.003474233,0.00343741,0.881549744,0.87224291,0.484375887
484875.8867,5097245.25,0.842485549,0.835482946,8.928129883,0.01734104,0.017196905,0.859682454,0.852679851,0.484875887
485375.8867,5097245.25,0.724197745,0.719001148,9.223178375,0.020815265,0.020665901,0.744863646,0.739667049,0.485375887
485875.8867,5097245.25,0.598438855,0.592953309,9.186358328,0.101474415,0.100544257,0.698983112,0.693497565,0.485875887
486375.8867,5097245.25,0.447528187,0.443680138,9.167600557,0.237351836,0.235310977,0.682839165,0.678991115,0.486375887
486875.8867,5097245.25,0.428942058,0.427095293,9.130080992,0.257999423,0.256888634,0.685830692,0.683983927,0.486875887
487375.8867,5097245.25,0.510069045,0.507877399,9.028655625,0.237917146,0.236894873,0.746963917,0.744772272,0.487375887
487875.8867,5097245.25,0.678167585,0.670392663,8.712182446,0.134531748,0.132989395,0.81115698,0.803382058,0.487875887
488375.8867,5097245.25,0.756097561,0.747416762,8.794322276,0.044134727,0.043628014,0.799725575,0.791044776,0.488375887
488875.8867,5097245.25,0.604906205,0.600401031,9.486769607,0.040692641,0.040389573,0.645295778,0.640790604,0.488875887
489375.8867,5097245.25,0.451138657,0.448552594,9.577520749,0.029115019,0.028948123,0.480086779,0.477500717,0.489375887
489875.8867,5097245.25,0.445945946,0.445177956,9.568705107,0.010925819,0.010907003,0.456852949,0.45608496,0.489875887
483375.8867,5097745.25,0.836546763,0.833190026,8.829401251,0.030503597,0.030381198,0.866927961,0.863571224,0.483375887
483875.8867,5097745.25,0.901672434,0.898047099,8.160544649,0.009515571,0.009477312,0.911149746,0.907524411,0.483875887
484375.8867,5097745.25,0.915448553,0.915448553,7.931852753,0.012324448,0.012324448,0.927773001,0.927773001,0.484375887
484875.8867,5097745.25,0.79740634,0.793063915,8.948583467,0.023054755,0.022929206,0.820335546,0.815993121,0.484875887
485375.8867,5097745.25,0.701185999,0.696151637,9.276317252,0.01562048,0.015508329,0.716694328,0.711659966,0.485375887
485875.8867,5097745.25,0.583718245,0.579535684,9.274810568,0.063799076,0.063341932,0.647060177,0.642877615,0.485875887
486375.8867,5097745.25,0.459919262,0.457151046,9.284792136,0.169550173,0.168529665,0.628448926,0.625680711,0.486375887
486875.8867,5097745.25,0.450460829,0.449167145,9.381316192,0.202476959,0.201895462,0.652356292,0.651062608,0.486875887
487375.8867,5097745.25,0.470520564,0.468902264,9.166584645,0.18176589,0.181140728,0.651661292,0.650042992,0.487375887
487875.8867,5097745.25,0.64477871,0.638865004,9.07084221,0.098929708,0.098022356,0.742801066,0.73688736,0.487875887
488375.8867,5097745.25,0.728882438,0.721137277,9.201168236,0.028447025,0.028144744,0.757027183,0.749282022,0.488375887
488875.8867,5097745.25,0.670126874,0.666093437,9.296783554,0.015282584,0.015190599,0.685317473,0.681284036,0.488875887
489375.8867,5097745.25,0.57352518,0.571223846,9.501123023,0.010935252,0.010891373,0.584416553,0.582115219,0.489375887
489875.8867,5097745.25,0.493951613,0.492533027,9.544202954,0.006912442,0.00689259,0.500844203,0.499425617,0.489875887
490375.8867,5097745.25,0.478274081,0.45113213,9.56293736,0,0,0.478274081,0.45113213,0.490375887
490875.8867,5097745.25,0.547759001,0.427343078,9.518000278,0,0,0.547759001,0.427343078,0.490875887
491375.8867,5097745.25,0.628158845,0.399770247,9.462248081,0,0,0.628158845,0.399770247,0.491375887
482875.8867,5098245.25,0.739792984,0.736827033,9.156318462,0.079643473,0.07932417,0.819117154,0.816151203,0.482875887
483375.8867,5098245.25,0.799367634,0.796163756,8.90267724,0.018970969,0.018894933,0.818262567,0.815058689,0.483375887
483875.8867,5098245.25,0.850359712,0.846947549,8.788705666,0.021007194,0.020922901,0.871282613,0.86787045,0.483875887
484375.8867,5098245.25,0.841065292,0.841065292,8.840727714,0.028636884,0.028636884,0.869702176,0.869702176,0.484375887
484875.8867,5098245.25,0.738603578,0.73289436,9.204689368,0.025389498,0.025193244,0.763796821,0.758087604,0.484875887
485375.8867,5098245.25,0.665591082,0.650329607,9.257405293,0.032854209,0.032100889,0.697691971,0.682430496,0.485375887
485875.8867,5098245.25,0.603624671,0.591351661,9.348940955,0.026015785,0.025486827,0.629111498,0.616838488,0.485875887
486375.8867,5098245.25,0.480034722,0.4749499,9.47412538,0.077546296,0.076724878,0.556759601,0.551674778,0.486375887
