POINT_X,POINT_Y,HARV88,HARV95,HARV2010
481729.7151,5123595.158,0.0026,0.0026,0.5912
482229.7151,5123595.158,0.0026,0.0074,0.6165
482729.7151,5123595.158,0,0.1162,0.6542
483229.7151,5123595.158,0.0054,0.2187,0.6825
483729.7151,5123595.158,0.0097,0.2917,0.6674
484229.7151,5123595.158,0.0341,0.3613,0.6951
484729.7151,5123595.158,0.0819,0.3206,0.6241
485229.7151,5123595.158,0.1171,0.3005,0.5678
485729.7151,5123595.158,0.1283,0.3306,0.5525
486229.7151,5123595.158,0.0985,0.329,0.5777
486729.7151,5123595.158,0.0475,0.2983,0.5844
487229.7151,5123595.158,0.0149,0.294,0.5299
487729.7151,5123595.158,0.0029,0.2362,0.4652
488229.7151,5123595.158,0.0094,0.1508,0.4459
488729.7151,5123595.158,0.0424,0.126,0.4867
489229.7151,5123595.158,0.0507,0.0607,0.4632
489729.7151,5123595.158,0.0561,0.055,0.4211
490229.7151,5123595.158,0.0238,0.0255,0.2871
490729.7151,5123595.158,0.0189,0.0206,0.1609
491229.7151,5123595.158,0.0089,0.0114,0.0701
491729.7151,5123595.158,0.0157,0.0181,0.0323
492229.7151,5123595.158,0.0292,0.0283,0.0335
492729.7151,5123595.158,0.0584,0.0887,0.099
493229.7151,5123595.158,0.1343,0.199,0.276
493729.7151,5123595.158,0.1815,0.2792,0.4884
494229.7151,5123595.158,0.2252,0.3266,0.6439
494729.7151,5123595.158,0.2127,0.337,0.7538
495229.7151,5123595.158,0.1798,0.3094,0.8145
495729.7151,5123595.158,0.2164,0.3712,0.8723
496229.7151,5123595.158,0.2119,0.3261,0.783
496729.7151,5123595.158,0.2436,0.306,0.6616
497229.7151,5123595.158,0.233,0.2721,0.6325
497729.7151,5123595.158,0.1789,0.1924,0.6241
498229.7151,5123595.158,0.1443,0.1469,0.657
498729.7151,5123595.158,0.1208,0.1239,0.6737
499229.7151,5123595.158,0.1002,0.1093,0.6235
499729.7151,5123595.158,0.0693,0.0833,0.5436
500229.7151,5123595.158,0.0404,0.0423,0.5272
500729.7151,5123595.158,0.0452,0.0467,0.5543
501229.7151,5123595.158,0.093,0.1191,0.6279
501729.7151,5123595.158,0.1027,0.1712,0.6001
502229.7151,5123595.158,0.1191,0.1909,0.5423
502729.7151,5123595.158,0.1197,0.1661,0.5036
503229.7151,5123595.158,0.1331,0.1757,0.4565
503729.7151,5123595.158,0.1094,0.1325,0.4673
504229.7151,5123595.158,0.1328,0.1351,0.4091
504729.7151,5123595.158,0.1236,0.1357,0.3206
505229.7151,5123595.158,0.1437,0.1912,0.2805
505729.7151,5123595.158,0.0584,0.197,0.2557
506229.7151,5123595.158,0.0321,0.2295,0.2893
506729.7151,5123595.158,0.0315,0.2537,0.3602
507229.7151,5123595.158,0.0438,0.2842,0.5262
507729.7151,5123595.158,0.1302,0.2782,0.6102
508229.7151,5123595.158,0.2428,0.3393,0.6636
508729.7151,5123595.158,0.274,0.3089,0.625
509229.7151,5123595.158,0.2573,0.2627,0.5224
509729.7151,5123595.158,0.1904,0.1978,0.3976
481729.7151,5123095.158,0.0026,0.0026,0.4801
482229.7151,5123095.158,0.0026,0.0041,0.4562
482729.7151,5123095.158,0.0263,0.1137,0.499
483229.7151,5123095.158,0.0719,0.2439,0.6092
483729.7151,5123095.158,0.1271,0.3416,0.6772
484229.7151,5123095.158,0.1489,0.3647,0.6917
484729.7151,5123095.158,0.1328,0.292,0.6511
485229.7151,5123095.158,0.1257,0.2537,0.6226
485729.7151,5123095.158,0.1503,0.2997,0.6164
486229.7151,5123095.158,0.1197,0.266,0.5929
486729.7151,5123095.158,0.041,0.2256,0.5676
487229.7151,5123095.158,0.0089,0.2064,0.5053
487729.7151,5123095.158,0,0.1944,0.4099
488229.7151,5123095.158,0.02,0.1793,0.3061
488729.7151,5123095.158,0.0424,0.124,0.3324
489229.7151,5123095.158,0.0424,0.0513,0.2975
489729.7151,5123095.158,0.0524,0.0524,0.2637
490229.7151,5123095.158,0.0381,0.0438,0.1835
490729.7151,5123095.158,0.0177,0.0197,0.1114
491229.7151,5123095.158,0.0117,0.0134,0.0753
491729.7151,5123095.158,0.0086,0.0094,0.0281
492229.7151,5123095.158,0.0109,0.0335,0.0335
492729.7151,5123095.158,0.0172,0.1131,0.1569
493229.7151,5123095.158,0.0318,0.1709,0.2909
493729.7151,5123095.158,0.0578,0.2053,0.4489
494229.7151,5123095.158,0.1005,0.2174,0.5728
494729.7151,5123095.158,0.1045,0.2099,0.669
495229.7151,5123095.158,0.1094,0.1898,0.7744
495729.7151,5123095.158,0.1572,0.2139,0.8122
496229.7151,5123095.158,0.2124,0.2611,0.781
496729.7151,5123095.158,0.2136,0.2588,0.6625
497229.7151,5123095.158,0.189,0.2228,0.6441
497729.7151,5123095.158,0.1675,0.1815,0.6929
498229.7151,5123095.158,0.1251,0.132,0.7515
498729.7151,5123095.158,0.0747,0.0767,0.758
499229.7151,5123095.158,0.0395,0.0409,0.7366
499729.7151,5123095.158,0.0272,0.03,0.6951
500229.7151,5123095.158,0.0395,0.0707,0.6447
500729.7151,5123095.158,0.0452,0.1448,0.655
501229.7151,5123095.158,0.0341,0.1924,0.692
501729.7151,5123095.158,0.0727,0.2729,0.6864
502229.7151,5123095.158,0.1122,0.3267,0.6996
502729.7151,5123095.158,0.1323,0.2591,0.5706
