POINT_X,POINT_Y,HARV88,HARV95,HARV2010,Dhat1988,Dhat1995,Dhat2015
483229.7151,5108095.158,0.2416,0.5147,0.5568,0.1161566,0.027617048,0.022131176
483729.7151,5108095.158,0.3328,0.4605,0.5224,0.071896478,0.036727481,0.026520852
484229.7151,5108095.158,0.3063,0.3244,0.3897,0.082650203,0.075144376,0.053299837
484729.7151,5108095.158,0.1798,0.2208,0.2757,0.160775226,0.129586327,0.097083679
485229.7151,5108095.158,0.0679,0.1191,0.165,0.289629141,0.221249114,0.173791322
485729.7151,5108095.158,0.0229,0.0407,0.0831,0.366977772,0.334177831,0.267374228
486229.7151,5108095.158,0.0312,0.0318,0.0644,0.351300955,0.350193997,0.295010597
486729.7151,5108095.158,0.0229,0.0221,0.0404,0.366977772,0.368525268,0.33470558
487229.7151,5108095.158,0.0344,0.0341,0.0395,0.345437344,0.345982875,0.336293832
487729.7151,5108095.158,0.0283,0.0289,0.0369,0.35670078,0.355576807,0.34092458
488229.7151,5108095.158,0.02,0.0203,0.0303,0.372618564,0.372031035,0.352967957
488729.7151,5108095.158,0.0031,0.02,0.0478,0.407258972,0.372618564,0.321927794
489229.7151,5108095.158,0.0074,0.0498,0.0879,0.39815098,0.318558866,0.260708071
489729.7151,5108095.158,0.0246,0.0711,0.0963,0.363710885,0.284794902,0.249439719
490229.7151,5108095.158,0.0364,0.1417,0.1726,0.341822391,0.196451048,0.166980874
490729.7151,5108095.158,0.0407,0.1723,0.2379,0.334177831,0.167244578,0.118439381
491229.7151,5108095.158,0.0493,0.1647,0.2337,0.319397778,0.174065781,0.121085061
491729.7151,5108095.158,0.0719,0.1892,0.2439,0.283599003,0.153019181,0.114759804
492229.7151,5108095.158,0.14,0.2104,0.2508,0.19821559,0.136872698,0.110669389
492729.7151,5108095.158,0.1904,0.2188,0.2543,0.152056366,0.130956771,0.108650605
493229.7151,5108095.158,0.1947,0.2262,0.2551,0.148655757,0.12595734,0.108194364
483229.7151,5107595.158,0.1892,0.3894,0.4378,0.153019181,0.053384011,0.041385363
483729.7151,5107595.158,0.2922,0.3707,0.4543,0.089013076,0.058901896,0.037944982
484229.7151,5107595.158,0.2614,0.2977,0.3907,0.104667774,0.08647482,0.053020216
484729.7151,5107595.158,0.2362,0.2937,0.3747,0.119503216,0.088313526,0.057675546
485229.7151,5107595.158,0.1655,0.2241,0.3141,0.173334851,0.127356378,0.079327851
485729.7151,5107595.158,0.154,0.2095,0.2774,0.184143488,0.137522189,0.096219427
486229.7151,5107595.158,0.1211,0.1511,0.2304,0.218933773,0.186973946,0.123205203
486729.7151,5107595.158,0.0624,0.0796,0.1434,0.298130491,0.272342177,0.194702213
487229.7151,5107595.158,0.047,0.0641,0.1151,0.323285321,0.295476492,0.225953512
487729.7151,5107595.158,0.0386,0.0598,0.1019,0.337889622,0.302235731,0.242199382
488229.7151,5107595.158,0.0371,0.0489,0.1023,0.340566116,0.320070498,0.24169033
488729.7151,5107595.158,0.0292,0.0326,0.111,0.355016149,0.348723477,0.23087935
489229.7151,5107595.158,0.0097,0.0461,0.1217,0.393363169,0.324819382,0.218243907
489729.7151,5107595.158,0.0376,0.0877,0.1819,0.339671604,0.26098248,0.159009075
490229.7151,5107595.158,0.0467,0.1077,0.2368,0.323795868,0.234921938,0.119126658
490729.7151,5107595.158,0.0432,0.1337,0.2302,0.32981216,0.204894104,0.123334883
491229.7151,5107595.158,0.0474,0.1528,0.2284,0.322605843,0.185309478,0.124508163
491729.7151,5107595.158,0.0386,0.1093,0.1757,0.337889622,0.232953131,0.164280163
492229.7151,5107595.158,0.0492,0.1002,0.1474,0.319565825,0.244374841,0.190648473
492729.7151,5107595.158,0.0943,0.1235,0.156,0.252077676,0.216187325,0.182216452
493229.7151,5107595.158,0.0902,0.116,0.1443,0.257573027,0.224886376,0.193782671
483229.7151,5107095.158,0.1005,0.2442,0.2757,0.243989521,0.114578855,0.097083679
483729.7151,5107095.158,0.1706,0.239,0.3119,0.168746785,0.11775607,0.080251165
484229.7151,5107095.158,0.1827,0.2494,0.3422,0.158341371,0.111487366,0.068428081
484729.7151,5107095.158,0.2731,0.3384,0.4257,0.098420516,0.069809582,0.044105005
485229.7151,5107095.158,0.2885,0.3495,0.4419,0.090762416,0.065850385,0.040502402
485729.7151,5107095.158,0.2774,0.3991,0.5053,0.096219427,0.050728571,0.029016867
486229.7151,5107095.158,0.2568,0.363,0.4921,0.107231203,0.061336511,0.031103156
486729.7151,5107095.158,0.1457,0.2341,0.3694,0.192360897,0.120830565,0.059306047
487229.7151,5107095.158,0.081,0.1598,0.3043,0.270344015,0.178610468,0.083524273
487729.7151,5107095.158,0.0512,0.1208,0.251,0.316221614,0.219279524,0.110553026
488229.7151,5107095.158,0.0472,0.1168,0.2442,0.322945403,0.223942042,0.114578855
488729.7151,5107095.158,0.0361,0.075,0.2096,0.342362213,0.279012136,0.137449871
489229.7151,5107095.158,0.022,0.0435,0.1895,0.368719163,0.329292126,0.152777907
