#Detector	X	Y	usage	early
1	501470.1994	5113465.178	0000011111111000000000	/1
2	497396.9451	5113017.558	0000011111111000000000	/1
3	498922.2437	5114045.981	0000011111111000000000	/1
4	499316.4413	5113668.816	0000011111111000000000	/1
5	501411.0931	5113043.612	0000011111111000000000	/1
6	497137.0617	5112747.12	0000011111111000000000	/1
7	497991.8961	5112838.002	0000011111111000000000	/1
8	502935.345	5111129.17	0000011111111100000000	/1
9	500573.868	5112056.818	0000011111111100000000	/1
10	496755.6921	5112426.313	0000011111111000000000	/1
11	500986.004	5112468.645	0000011111111100000000	/1
12	498349.5098	5112132.458	0000011111111000000000	/1
13	501941.0855	5111392.439	0000011111111100000000	/1
14	498930.6545	5112265.216	0000011111111000000000	/1
15	496314.1244	5111566.238	0000011111111000000000	/1
16	497163.4632	5111245.123	0000011111111100000000	/1
17	497817.1947	5111517.964	0000011111111100000000	/1
18	498723.602	5111555.374	0000011111111100000000	/1
19	499447.3135	5111573.044	0000011111111100000000	/1
20	500078.6742	5111689.24	0000011111111100000000	/1
21	500036.8132	5113851.888	0000011111111000000000	/1
22	500805.423	5113708.941	0000011111111000000000	/1
23	495793.7487	5110376.697	0000011111111000000000	/1
24	496573.7558	5110677.875	0000011111111100000000	/1
25	502779.3756	5112810.637	0000011111111100000000	/1
26	501608.0418	5112641.441	0000011111111100000000	/1
27	502887.6177	5114094.566	0000011111111000000000	/1
28	502984.6639	5113556.172	0000011111111000000000	/1
29	501015.7455	5110953.221	0000011111111100000000	/1
30	501718.3274	5110823.157	0000011111111100000000	/1
31	502038.5192	5113514.784	0000011111111000000000	/1
32	495190.7103	5109919.701	0000011111111100000000	/1
33	495712.412	5110021.424	0000011111111100000000	/1
34	496385.6098	5109971.325	0000011111111100000000	/1
35	497490.6073	5110061.883	0000011111111100000000	/1
36	502560.3329	5112158.436	0000011111111100000000	/1
37	503301.6022	5114686.882	0000011111111000000000	/1
38	499319.6704	5109378.64	0000011111111100000000	/1
39	499985.1669	5109485.6	0000011111111100000000	/1
40	500526.4411	5109617.954	0000011111111100000000	/1
41	502231.7163	5110340.995	0000011111111000000000	/1
42	493857.479	5108338.357	0000011111111000000000	/1
43	494749.0176	5109380.293	0000011111111000000000	/1
44	502654.9253	5111584.593	0000011111111000000000	/1
45	496288.991	5109458.167	0000011111111000000000	/1
46	496961.7034	5109385.576	0000011111111000000000	/1
47	497839.8945	5109541.757	0000011111111000000000	/1
48	498636.4569	5109246.866	0000011111111000000000	/1
49	499334.4655	5109057.643	0000011111111000000000	/1
50	500161.3631	5108881.389	0000011111111000000000	/1
51	500850.5399	5108957.889	0000011111111000000000	/1
52	501501.5838	5108859.682	0000011111111000000000	/1
53	494184.063	5108784.588	0000011111111000000000	/1
54	494694.1079	5108674.35	0000011111111000000000	/1
55	495289.108	5108514.644	0000011111111000000000	/1
56	496080.3244	5108661.753	0000011111111000000000	/1
57	496982.8557	5108733.908	0000011111111000000000	/1
58	502713.0275	5109750.085	0000011111111000000000	/1
59	503038.3444	5108963.137	0000011111111000000000	/1
60	499523.5116	5108460.634	0000011111111000000000	/1
61	500352.3478	5108307.85	0000011111111000000000	/1
62	502864.7159	5110414.034	0000011111111000000000	/1
63	501366.0633	5108303.992	0000011111111000000000	/1
64	486658	5106648	1111100000000000000000	/1
65	490325	5106727	1111100000000000000000	/1
66	486058	5107046	1111100000000000000000	/1
67	486394	5106061	1111100000000000000000	/1
68	488574	5106775	1111100000000000000000	/1
69	488644	5106283	1111100000000000000000	/1
70	486796	5107451	1111100000000000000000	/1
71	490374	5105895	1111100000000000000000	/1
72	489334	5102029	1111100000000000000000	/1
73	484891	5107849	1111100000000000000000	/1
74	485377	5107269	1111100000000000000000	/1
75	485270	5105933	1111100000000000000000	/1
76	485885	5105267	1111100000000000000000	/1
77	486794	5105221	1111100000000000000000	/1
78	487562	5105633	1111100000000000000000	/1
79	488170	5105293	1111100000000000000000	/1
80	489136	5105429	1111100000000000000000	/1
81	490021	5105513	1111100000000000000000	/1
82	490403	5104983	1111100000000000000000	/1
83	491009	5105780	1111100000000000000000	/1
84	492067	5105754	1111100000000000000000	/1
85	492968	5106179	1111100000000000000000	/1
86	484877	5104615	1111100000000000000000	/1
87	485786	5104626	1111100000000000000000	/1
88	486460	5104890	1111100000000000000000	/1
89	487441	5104659	1111100000000000000000	/1
90	488466	5104425	1111100000000000000000	/1
91	489127	5104826	1111100000000000000000	/1
92	489520	5104969	1111100000000000000000	/1
93	490770	5104417	1111100000000000000000	/1
94	491436	5104474	1111100000000000000000	/1
95	491882	5104918	1111100000000000000000	/1
96	492264	5104756	1111100000000000000000	/1
97	485121	5103991	1111100000000000000000	/1
98	485991	5103907	1111100000000000000000	/1
99	486575	5103894	1111100000000000000000	/1
100	487659	5103787	1111100000000000000000	/1
101	488062	5104098	1111100000000000000000	/1
102	489341	5103975	1111100000000000000000	/1
103	489689	5103904	1111100000000000000000	/1
104	490564	5104163	1111100000000000000000	/1
105	487600	5107418	1111100000000000000000	/1
106	488233	5107219	1111100000000000000000	/1
107	485461	5103160	1111100000000000000000	/1
108	486591	5102886	1111100000000000000000	/1
109	487613	5102935	1111100000000000000000	/1
110	484853	5107085	1111100000000000000000	/1
111	489059	5103040	1111100000000000000000	/1
112	489680	5103291	1111100000000000000000	/1
113	489006	5107666	1111100000000000000000	/1
114	489752	5107702	1111100000000000000000	/1
115	490280	5107449	1111100000000000000000	/1
116	485648	5102592	1111100000000000000000	/1
117	487693	5102047	1111100000000000000000	/1
118	487245	5102417	1111100000000000000000	/1
119	488189	5102419	1111100000000000000000	/1
120	488742	5102221	1111100000000000000000	/1
121	489747	5102430	1111100000000000000000	/1
122	490454	5108076	1111100000000000000000	/1
123	490928	5107290	1111100000000000000000	/1
124	491576	5107687	1111100000000000000000	/1
125	487104	5101753	1111100000000000000000	/1
126	486619	5100995	1111100000000000000000	/1
127	488399.0673	5117664.864	1111000000000000000000	/0
128	488882.2225	5117270.189	0000000000000011110000	/0
129	489556.1254	5116819.669	0000000000000011110000	/0
130	490329.6539	5117004.62	0000000000000011110000	/0
131	490874.6867	5117116.006	0000000000000011110000	/0
132	488043.0265	5111385.009	0000000000000011111000	/0
133	488508.8686	5110893.344	0000000000000011111000	/0
134	489443.2765	5111272.773	0000000000000011111000	/0
135	490240.8573	5116566.428	0000000000000011110000	/0
136	490970.2281	5116096.087	0000000000000011110000	/0
137	485714.9992	5115227.755	0000000000000011111000	/0
138	486456.4376	5115168.072	0000000000000011111000	/0
139	487237.6253	5115512.95	0000000000000011111000	/0
140	487949.584	5115619.175	0000000000000011111000	/0
141	488613.1825	5115500.127	0000000000000011111000	/0
142	489739.7789	5115557.248	0000000000000011111000	/0
143	490392.1545	5115734.967	0000000000000011111000	/0
144	490786.9893	5115637.694	0000000000000011111000	/0
145	484906.7938	5113927.027	0000000000000011110000	/0
146	485748.4097	5113401.347	0000000000000011110000	/0
147	492034.5021	5117100.387	0000000000000011110000	/0
148	491732.3981	5116518.788	0000000000000011110000	/0
149	492317.9501	5116936.914	0000000000000011110000	/0
150	492951.0247	5117227.708	0000000000000011110000	/0
151	490277.9522	5115099.26	0000000000000011111000	/0
152	490715.4143	5114894.027	0000000000000011111000	/0
153	491395.2283	5115237.922	0000000000000011111000	/0
154	492450.1298	5115021.643	0000000000000011111000	/0
155	484124.8865	5113105.67	0000000000000011111000	/0
156	485698.4151	5111160.695	0000000000000011110000	/0
157	491389.1425	5117549.928	0000000000000011110000	/0
158	489397.7581	5114197.167	0000000000000011111000	/0
159	490090.2959	5114393.341	0000000000000011111000	/0
160	490872.6172	5114121.349	0000000000000011111000	/0
161	491678.5921	5114449.867	0000000000000011111000	/0
162	492132.2926	5115518.486	0000000000000011111000	/0
163	487081.8837	5111104.515	0000000000000011110000	/0
164	485981.2021	5111572.929	0000000000000011110000	/0
165	490085.7232	5113427.13	0000000000000011111000	/0
166	486077.9995	5112955.257	0000000000000011110000	/0
167	487913.1257	5110823.379	0000000000000011111000	/0
168	486996.1844	5112858.464	0000000000000011111000	/0
